Month,monthly_video_count_after,mins_after_per_month,likes_after_per_month,views_after_per_month,comments_after_per_month,channelName
Feb,706,4132.96,146226,10757723,15643,A Haber
Mar,620,5425.63,107901,8356699,23378,A Haber
Feb,338,825.35,133971,6467978,5767,Anadolu Ajansı
Mar,237,1197.19,17654,518590,1314,Anadolu Ajansı
Feb,16,161.06,101808,8609817,13728,BBC News Türkçe
Mar,9,99.88,24720,1648127,2910,BBC News Türkçe
Feb,1,3.33,43933,552885,2518,BaBaLa TV
Mar,4,98.27,28139,397049,2096,BaBaLa TV
Feb,1029,23099.32,317226,46192806,57196,CNN TÜRK
Mar,1409,33380.61,291186,30650152,83886,CNN TÜRK
Feb,155,6556.40,440744,25646869,19894,Cüneyt Özdemir
Mar,201,3593.90,320975,13138946,28846,Cüneyt Özdemir
Feb,15,420.84,67263,909056,3697,Erk Acarer
Mar,16,467.36,77152,1316304,5265,Erk Acarer
Feb,404,17055.77,121538,10523865,20724,FOX Haber
Mar,299,7152.86,57502,6389985,17725,FOX Haber
Feb,102,936.91,31822,6528827,4707,Habertürk
Mar,42,1316.01,404,33679,39,Habertürk
Feb,615,24398.55,333210,44069339,67274,Halktv
Mar,781,34162.22,415314,30730340,110750,Halktv
Feb,37,1667.20,196047,4374929,9264,Nevşin Mengü
Mar,31,1472.05,216358,3873972,8885,Nevşin Mengü
Feb,10,17.51,2473,471263,363,SÖZCÜ Televizyonu
Mar,861,18371.60,386670,30101852,101034,SÖZCÜ Televizyonu
Feb,429,639.24,105528,12930461,15269,TRT Haber
Mar,275,476.40,37773,3193796,6458,TRT Haber
Feb,1071,27134.10,359811,41274409,62014,TV100
Mar,899,18891.55,134316,15085897,47888,TV100
Feb,61,184.19,466463,28437261,32673,Yeni Şafak
Mar,49,675.54,190013,5426412,16389,Yeni Şafak