pushblishDayName,video_daily_after,count,daily_counts,channelName
Monday,90,8,11.2,Anadolu Ajansı
Tuesday,104,7,14.9,Anadolu Ajansı
Wednesday,77,7,11.0,Anadolu Ajansı
Thursday,88,7,12.6,Anadolu Ajansı
Friday,84,7,12.0,Anadolu Ajansı
Saturday,67,7,9.6,Anadolu Ajansı
Sunday,65,7,9.3,Anadolu Ajansı
Monday,232,8,29.0,A Haber
Tuesday,227,7,32.4,A Haber
Wednesday,243,7,34.7,A Haber
Thursday,249,7,35.6,A Haber
Friday,139,7,19.9,A Haber
Saturday,85,7,12.1,A Haber
Sunday,151,7,21.6,A Haber
Monday,6,8,0.8,BBC News Türkçe
Tuesday,6,7,0.9,BBC News Türkçe
Wednesday,4,7,0.6,BBC News Türkçe
Thursday,4,7,0.6,BBC News Türkçe
Friday,4,7,0.6,BBC News Türkçe
Sunday,1,7,0.1,BBC News Türkçe
Monday,1,8,0.1,BaBaLa TV
Tuesday,1,7,0.1,BaBaLa TV
Thursday,1,7,0.1,BaBaLa TV
Friday,1,7,0.1,BaBaLa TV
Saturday,1,7,0.1,BaBaLa TV
Monday,401,8,50.1,CNN TÜRK
Tuesday,353,7,50.4,CNN TÜRK
Wednesday,365,7,52.1,CNN TÜRK
Thursday,344,7,49.1,CNN TÜRK
Friday,344,7,49.1,CNN TÜRK
Saturday,313,7,44.7,CNN TÜRK
Sunday,318,7,45.4,CNN TÜRK
Monday,88,8,11.0,Cüneyt Özdemir
Tuesday,48,7,6.9,Cüneyt Özdemir
Wednesday,61,7,8.7,Cüneyt Özdemir
Thursday,72,7,10.3,Cüneyt Özdemir
Friday,63,7,9.0,Cüneyt Özdemir
Saturday,15,7,2.1,Cüneyt Özdemir
Sunday,9,7,1.3,Cüneyt Özdemir
Monday,5,8,0.6,Erk Acarer
Tuesday,2,7,0.3,Erk Acarer
Wednesday,3,7,0.4,Erk Acarer
Thursday,6,7,0.9,Erk Acarer
Friday,4,7,0.6,Erk Acarer
Saturday,5,7,0.7,Erk Acarer
Sunday,6,7,0.9,Erk Acarer
Monday,116,8,14.5,FOX Haber
Tuesday,101,7,14.4,FOX Haber
Wednesday,106,7,15.1,FOX Haber
Thursday,118,7,16.9,FOX Haber
Friday,115,7,16.4,FOX Haber
Saturday,72,7,10.3,FOX Haber
Sunday,75,7,10.7,FOX Haber
Monday,27,8,3.4,Habertürk
Tuesday,34,7,4.9,Habertürk
Wednesday,25,7,3.6,Habertürk
Thursday,28,7,4.0,Habertürk
Friday,19,7,2.7,Habertürk
Saturday,3,7,0.4,Habertürk
Sunday,8,7,1.1,Habertürk
Monday,255,8,31.9,Halktv
Tuesday,213,7,30.4,Halktv
Wednesday,230,7,32.9,Halktv
Thursday,210,7,30.0,Halktv
Friday,203,7,29.0,Halktv
Saturday,140,7,20.0,Halktv
Sunday,145,7,20.7,Halktv
Monday,8,8,1.0,Nevşin Mengü
Tuesday,9,7,1.3,Nevşin Mengü
Wednesday,12,7,1.7,Nevşin Mengü
Thursday,11,7,1.6,Nevşin Mengü
Friday,9,7,1.3,Nevşin Mengü
Saturday,7,7,1.0,Nevşin Mengü
Sunday,12,7,1.7,Nevşin Mengü
Monday,153,8,19.1,SÖZCÜ Televizyonu
Tuesday,99,7,14.1,SÖZCÜ Televizyonu
Wednesday,156,7,22.3,SÖZCÜ Televizyonu
Thursday,132,7,18.9,SÖZCÜ Televizyonu
Friday,135,7,19.3,SÖZCÜ Televizyonu
Saturday,94,7,13.4,SÖZCÜ Televizyonu
Sunday,102,7,14.6,SÖZCÜ Televizyonu
Monday,96,8,12.0,TRT Haber
Tuesday,116,7,16.6,TRT Haber
Wednesday,96,7,13.7,TRT Haber
Thursday,114,7,16.3,TRT Haber
Friday,110,7,15.7,TRT Haber
Saturday,84,7,12.0,TRT Haber
Sunday,88,7,12.6,TRT Haber
Monday,391,8,48.9,TV100
Tuesday,369,7,52.7,TV100
Wednesday,328,7,46.9,TV100
Thursday,339,7,48.4,TV100
Friday,335,7,47.9,TV100
Saturday,142,7,20.3,TV100
Sunday,66,7,9.4,TV100
Monday,19,8,2.4,Yeni Şafak
Tuesday,21,7,3.0,Yeni Şafak
Wednesday,18,7,2.6,Yeni Şafak
Thursday,16,7,2.3,Yeni Şafak
Friday,16,7,2.3,Yeni Şafak
Saturday,10,7,1.4,Yeni Şafak
Sunday,10,7,1.4,Yeni Şafak